state_fips,county_fips,total_emp,manufacturing_emp,prop_manuf_loss,prop_total_loss
05,081,2977,1750,0.6045714285714285,0.3553913335572724
05,085,10364,1,0,0
05,087,1829,1,0,0
05,089,2760,1107,0.13008130081300814,0.05217391304347826
05,091,10668,1750,0.03428571428571429,0.00562429696287964
05,093,14751,5069,0.31110672716512133,0.10690800623686529
05,095,1677,1,0,0
05,097,973,175,0.5542857142857143,0.09969167523124357
05,099,1842,1,0,0
05,101,592,1,0,0
05,103,8082,2618,0.0748663101604278,0.02425142291512002
05,105,866,1,0,0
05,107,4494,1,0,0
05,109,1848,381,0.3937007874015748,0.08116883116883117
05,111,3473,725,0.0896551724137931,0.018715807659084364
05,113,5271,1,0,0
05,115,22228,4567,0.03131158309612437,0.006433327334892928
05,117,1044,1,0,0
05,119,209751,14942,0.03460045509302637,0.0024648273428970542
05,123,5665,480,0.575,0.04872021182700794
05,125,18212,1210,0.03305785123966942,0.0021963540522732263
05,127,2103,1,0,0
05,129,957,1,0,0
05,131,64151,15733,0.18114790567596772,0.04442643138844289
05,133,5173,1,0,0
05,135,2620,1,0,0
05,137,2215,1,0,0
05,139,18819,4489,6.683002895967921e-4,1.5941335883947074e-4
05,141,3493,1,0,0
05,143,79069,13034,0.050866963326684056,0.00838508138461344
05,145,22485,2462,0.020308692120227456,0.0022237046920169003
05,147,1240,1,0,0
05,149,4401,1,0,0
06,001,581130,67122,0.1533029409135604,0.017706881420680397
06,003,756,1,0,0
06,007,55308,1,0,0
06,009,5819,1,0,0
06,011,4133,1,0,0
06,013,304803,17788,0.04913424780751068,0.0028674258455461395
06,015,4401,1,0,0
06,019,233208,24357,0.013261074845013755,0.0013850296730815409
06,021,4540,1,0,0
06,023,33603,2252,0.17584369449378331,0.011784662083742523
06,025,30887,3324,0.024368231046931407,0.0026224625246867614
06,029,179606,11970,0.007268170426065163,4.843936171397392e-4
06,035,3610,1,0,0
06,037,3703233,420013,0.02711106560987398,0.003074880786599169
06,039,24031,3367,0.08434808434808434,0.011818068328409138
06,041,94673,1820,0.056043956043956046,0.0010773927096426647
06,043,3064,1,0,0
06,045,22130,1,0,0
06,047,40447,8678,0.02581239917031574,0.005538111602838282
06,049,1310,1,0,0
06,051,5862,1,0,0
06,053,100735,6106,1.6377333770062233e-4,9.927036283317615e-6
06,055,55167,9896,0.014854486661277283,0.0026646364674533687
06,057,26747,2300,0.03739130434782609,0.0032153138669757356
06,059,1336341,155656,0.0442771239142725,0.0051573662710341145
06,061,123022,7137,0.024239876698893093,0.0014062525401960626
06,063,3812,375,0.312,0.030692549842602307
06,065,480413,44887,0.050148149798382606,0.004685551806466519
06,067,417036,20543,0.06503431825926106,0.0032035603640932675
06,069,10894,2041,0.15531602155805976,0.029098586377822654
06,071,519247,54249,0.042194326162694244,0.004408306644044164
06,073,1119643,93819,0.045491851330753896,0.003811929338190834
06,075,492689,9011,0.05393408056819443,9.864234841857643e-4
06,077,165952,20422,0.11272157477230438,0.013871480910142692
06,079,82573,5508,0.0016339869281045752,1.0899446550325166e-4
06,081,336120,37500,0.016426666666666666,0.0018326788051886232
06,083,136826,12022,0.050074862751622026,0.0043997485857950975
06,085,850828,89488,0.07052342213481137,0.007417480383814355
06,087,71708,4676,0.696535500427716,0.04542031572488425
06,089,47789,2335,0.018843683083511777,9.207139718345226e-4
06,091,322,1,0,0
06,093,8517,1,0,0
06,095,100025,9514,0.027748581038469625,0.00263934016495876
06,097,149366,19124,0.020550094122568502,0.002631120870880923
06,099,127658,19791,0.011267747966247283,0.0017468548778768272
06,103,11841,1750,0.026285714285714287,0.003884807026433578
06,105,1551,175,0.4228571428571429,0.04771115409413282
06,107,87794,12574,0.018848417369174485,0.002699501104859102
06,109,13206,1,0,0
06,111,245788,24862,0.04975464564395463,0.005032792487835044
08,001,134044,9137,0.008865054175331072,6.042791919071349e-4
08,003,5315,92,0.25,0.004327375352775165
08,005,239689,8140,0.12862407862407862,0.004368160407861854
08,007,2913,1,0,0
08,009,563,1,0,0
08,011,581,1,0,0
08,013,134041,14284,0.07028843461215346,0.007490245521892556
08,014,29760,3037,0.03457359236088245,0.003528225806451613
08,015,5039,1,0,0
08,017,631,1,0,0
08,019,2681,1,0,0
08,021,544,1,0,0
08,023,187,1,0,0
08,025,587,1,0,0
08,027,562,1,0,0
08,029,6554,509,0.019646365422396856,0.0015257857796765334
08,031,382765,16948,0.023601604909133822,0.001045027627917913
08,033,204,1,0,0
08,037,31662,1,0,0
08,039,1909,1,0,0
08,041,216331,11245,0.0897287683414851,0.004664148919942126
08,043,7863,1,0,0
08,045,21417,1,0,0
08,047,3910,1,0,0
08,051,6773,1,0,0
08,053,184,1,0,0
08,055,1448,70,0.7142857142857143,0.034530386740331494
08,057,289,1,0,0
08,059,185387,19434,0.012092209529690234,0.0012676185493049675
08,061,209,1,0,0
08,063,1931,1,0,0
08,065,1272,1,0,0
08,069,104597,11148,0.03821313240043057,0.004072774553763492
08,071,3379,1,0,0
08,073,1177,1,0,0
08,077,53464,2593,0.02236791361357501,0.001084842136764926
08,079,184,1,0,0
08,081,4029,1,0,0
08,083,6665,1,0,0
08,085,11429,1,0,0
08,087,8562,1,0,0
08,091,1060,1,0,0
08,093,1292,1,0,0
08,095,956,1,0,0
08,097,16278,1,0,0
08,099,2972,1,0,0
08,101,46927,3736,0.201017130620985,0.016003580028554988
08,103,1951,1,0,0
08,105,2730,1,0,0
08,107,18179,1,0,0
08,109,778,1,0,0
08,111,196,1,0,0
08,113,4704,1,0,0
08,115,432,1,0,0
08,117,21403,1,0,0
08,119,5115,1,0,0
08,121,475,1,0,0
08,123,66870,11496,0.03801322199025748,0.006535068042470465
08,125,2861,1,0,0
09,001,407342,37795,0.04857785421352031,0.004507269076108037
09,003,449294,52544,0.07317676613885506,0.008557870792843885
09,005,52370,9259,0.025596716708067825,0.004525491693717777
09,007,61152,8961,0.013949336011605848,0.0020440868655154367
09,009,327054,36209,0.0877958518600348,0.009720107382878668
09,011,104745,17500,0.02542857142857143,0.004248412812067402
09,013,30274,3813,0.13690007867820614,0.017242518332562594
09,015,29798,5512,0.0021770682148040637,4.0271159138197197e-4
10,001,48947,1,0,0
10,003,262628,14655,0.15489593995223475,0.008643404359017318
10,005,58670,10837,0.06459352219248869,0.011931140276120675
12,001,82708,3631,0.04268796474800331,0.0018740629685157421
12,003,5413,1,0,0
12,005,54350,1,0,0
12,007,4321,1,0,0
12,009,165707,19994,0.018055416624987497,0.002178544056678354
12,011,610674,23288,0.043198213672277566,0.0016473601299547714
12,013,1565,1,0,0
12,015,40953,1,0,0
12,017,24719,1,0,0
12,019,36229,1,0,0
12,023,17039,1,0,0
12,027,4902,375,0.037333333333333336,0.0028559771521827824
12,029,1337,1,0,0
12,031,408297,21547,0.03995915904766325,0.0021087590650923226
12,033,98136,1,0,0
12,035,16572,1,0,0
12,037,1986,1,0,0
12,039,9200,1,0,0
12,041,1499,1,0,0
12,043,811,1,0,0
12,045,2095,1,0,0
12,047,2566,1,0,0
