state,two_party_vote,candidate_name
ALABAMA,0.3708862516664528,Biden
ALABAMA,0.6291137483335473,Trump
ALASKA,0.44738151276150684,Biden
ALASKA,0.5526184872384932,Trump
ARIZONA,0.5015683167912931,Biden
ARIZONA,0.4984316832087069,Trump
ARKANSAS,0.3578756672201685,Biden
ARKANSAS,0.6421243327798315,Trump
CALIFORNIA,0.6490891136066756,Biden
CALIFORNIA,0.35091088639332435,Trump
COLORADO,0.5693831949230015,Biden
COLORADO,0.4306168050769985,Trump
CONNECTICUT,0.6019504908807785,Biden
CONNECTICUT,0.39804950911922155,Trump
DELAWARE,0.5962674416498447,Biden
DELAWARE,0.40373255835015526,Trump
DISTRICT OF COLUMBIA,0.9446695384761945,Biden
DISTRICT OF COLUMBIA,0.05533046152380555,Trump
FLORIDA,0.48305245337858443,Biden
FLORIDA,0.5169475466214156,Trump
GEORGIA,0.5011932966290864,Biden
GEORGIA,0.49880670337091354,Trump
HAWAII,0.6503266464651488,Biden
HAWAII,0.3496733535348512,Trump
IDAHO,0.34122857074922125,Biden
IDAHO,0.6587714292507787,Trump
ILLINOIS,0.5865904373280693,Biden
ILLINOIS,0.4134095626719308,Trump
INDIANA,0.4180495199255704,Biden
INDIANA,0.5819504800744296,Trump
IOWA,0.4581673691536295,Biden
IOWA,0.5418326308463706,Trump
KANSAS,0.4250657174436865,Biden
KANSAS,0.5749342825563136,Trump
KENTUCKY,0.36799897099737033,Biden
KENTUCKY,0.6320010290026297,Trump
LOUISIANA,0.4053555954370895,Biden
LOUISIANA,0.5946444045629105,Trump
MAINE,0.5467040458200397,Biden
MAINE,0.4532959541799603,Trump
MARYLAND,0.6702904704709234,Biden
MARYLAND,0.3297095295290766,Trump
MASSACHUSETTS,0.67115549540148145,Biden
MASSACHUSETTS,0.3288445045985185,Trump
MICHIGAN,0.5141355934440945,Biden
MICHIGAN,0.48586440655590535,Trump
MINNESOTA,0.5363951364856666,Biden
MINNESOTA,0.46360486351433333,Trump
MISSISSIPPI,0.41615014172611137,Biden
MISSISSIPPI,0.5838498582738886,Trump
MISSOURI,0.4216417935559855,Biden
MISSOURI,0.5783582064440145,Trump
MONTANA,0.41602819907951893,Biden
MONTANA,0.5839718009204811,Trump
NEBRASKA,0.4021594775339827,Biden
NEBRASKA,0.5978405224660173,Trump
NEVADA,0.512231173400438,Biden
NEVADA,0.487768826599562,Trump
NEW HAMPSHIRE,0.5374834772159504,Biden
NEW HAMPSHIRE,0.4625165227840496,Trump
NEW JERSEY,0.5807128358679485,Biden
NEW JERSEY,0.4192871641320516,Trump
NEW MEXICO,0.5551849015171975,Biden
NEW MEXICO,0.44481509848280265,Trump
NEW YORK,0.6171683489301224,Biden
NEW YORK,0.38283165106987754,Trump
NORTH CAROLINA,0.4931581746681328,Biden
NORTH CAROLINA,0.5068418253318673,Trump
NORTH DAKOTA,0.3278259157710337,Biden
NORTH DAKOTA,0.6721740842289663,Trump
OHIO,0.45923302352297285,Biden
OHIO,0.5407669764770272,Trump
OKLAHOMA,0.3305996050309349,Biden
OKLAHOMA,0.6694003949690651,Trump
OREGON,0.5830715698544173,Biden
OREGON,0.4169284301455827,Trump
PENNSYLVANIA,0.5058920525934906,Biden
PENNSYLVANIA,0.4941079474065094,Trump
RHODE ISLAND,0.6059935988395926,Biden
RHODE ISLAND,0.39400640116040747,Trump
SOUTH CAROLINA,0.44073391250417904,Biden
SOUTH CAROLINA,0.559266087495821,Trump
SOUTH DAKOTA,0.365652201383185,Biden
SOUTH DAKOTA,0.634347798616815,Trump
TENNESSEE,0.3817222962793365,Biden
TENNESSEE,0.6182777037206635,Trump
TEXAS,0.4716927876322047,Biden
TEXAS,0.5283072123677953,Trump
UTAH,0.3930639487814836,Biden
UTAH,0.6069360512185163,Trump
VERMONT,0.6829918655280656,Biden
VERMONT,0.3170081344719344,Trump
VIRGINIA,0.551546869993999,Biden
VIRGINIA,0.4484531300060009,Trump
WASHINGTON,0.5992550318479068,Biden
WASHINGTON,0.4007449681520931,Trump
WEST VIRGINIA,0.3020146768607797,Biden
WEST VIRGINIA,0.6979853231392203,Trump
WISCONSIN,0.5031906326653399,Biden
WISCONSIN,0.49680936733466,Trump
WYOMING,0.27519565624414905,Biden
WYOMING,0.724804343755851,Trump
