year,month,day,politician,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo
2024,1,18,Joe Biden,38.82859735308768,43.07505339158452,34.58214131459084,55.73618635277416,59.97874381944332,51.49362888610501
2024,1,17,Joe Biden,38.57379714152002,42.81956256637414,34.3280317166659,56.19005358333594,60.42801062241885,51.952096544253024
2024,1,16,Joe Biden,38.180621868910094,42.42386185626754,33.937381881552646,56.31278018877832,60.543943924450474,52.08161645310616
2024,1,15,Joe Biden,38.56058294967123,42.80053499024217,34.32063090910029,56.03983048915019,60.27745293825512,51.80220804004526
2024,1,14,Joe Biden,38.43090566777835,42.67674407777679,34.185067257779906,56.41469572282373,60.64461684513048,52.18477460051698
2024,1,13,Joe Biden,38.42229949279784,42.668137910006266,34.176461075589415,56.42026400846531,60.65018512365532,52.1903428932753
2024,1,12,Joe Biden,38.9800777671411,43.21803582099369,34.7421197132885,56.197011351203784,60.427174096725395,51.96684860568217
2024,1,11,Joe Biden,38.86451331956176,43.10073905952914,34.62828757959438,56.24795744751229,60.48067270215161,52.015242192872975
2024,1,10,Joe Biden,38.771680762629344,43.000306518954616,34.54305500630407,56.05309990135338,60.293326948728335,51.81287285397842
2024,1,9,Joe Biden,38.52766468009776,42.75240686912447,34.30292249107106,56.425670783815825,60.65371904298605,52.1976225246456
2024,1,8,Joe Biden,38.785207587352915,43.01034083995252,34.56007433475331,56.143267149927794,60.36495043555117,51.92158386430442
2024,1,7,Joe Biden,38.66857177800711,42.90440864355547,34.432734912458756,56.05148638019446,60.28557915568383,51.817393604705096
2024,1,6,Joe Biden,38.6600680032481,42.89590486898757,34.42423113750863,56.048395797328624,60.2824885728281,51.81430302182915
2024,1,5,Joe Biden,38.32590672058635,42.56113242793636,34.09068101323635,55.53894177721211,59.76755550075537,51.31032805366885
2024,1,4,Joe Biden,38.29963729512235,42.53674364277832,34.062530947466385,55.46677811921032,59.702226316006595,51.23132992241404
2024,1,3,Joe Biden,39.5373887770365,43.76885165507507,35.30592589899793,54.97053953442676,59.201883814170486,50.73919525468304
2024,1,2,Joe Biden,38.969542996224334,43.20535313243562,34.73373286001305,55.40937160609196,59.64316324260327,51.175579969580646
2024,1,1,Joe Biden,39.26309053479311,43.50338424552809,35.022796824058126,55.456475890162466,59.68428518817211,51.22866659215282
2023,12,31,Joe Biden,39.2628405189587,43.50313422969368,35.022546808223716,55.459765244989654,59.6875745429993,51.23195594698001
2023,12,30,Joe Biden,39.26049261204549,43.50078632288622,35.02019890120476,55.4618220203789,59.68963131838754,51.23401272237025
2023,12,29,Joe Biden,39.251404923437185,43.49129515237226,35.01151469450211,55.40320508557649,59.631732887171424,51.17467728398155
2023,12,28,Joe Biden,39.12449523603357,43.36368709906689,34.88530337300025,55.438444216874984,59.69522377896951,51.181664654780455
2023,12,27,Joe Biden,38.948422883454214,43.19103583723064,34.705809929677784,55.52630451420892,59.75230489269827,51.30030413571957
2023,12,26,Joe Biden,39.12542925492348,43.36862076172171,34.882237748125256,55.23752552207261,59.47257461559389,51.002476428551326
2023,12,25,Joe Biden,38.701412845763144,42.94513611067739,34.45768958084889,55.81799364595849,60.051426331871134,51.58456096004584
2023,12,24,Joe Biden,38.70000411612119,42.94372738103544,34.45628085120694,55.81503546072019,60.04846814663284,51.58160277480755
2023,12,23,Joe Biden,38.69945344190228,42.94317670681653,34.45573017698803,55.81530255974989,60.048735245662535,51.58186987383724
2023,12,22,Joe Biden,38.98658139882117,43.23237827285977,34.740784524782576,55.59969597220548,59.83234545087046,51.3670464935405
2023,12,21,Joe Biden,38.97364923464381,43.22002951843733,34.72726895085029,55.09065206228543,59.332682513831365,50.84862161073949
2023,12,20,Joe Biden,38.847784132642154,43.08965430835126,34.60591395693305,55.51894396327228,59.759397137295245,51.27849078924931
2023,12,19,Joe Biden,38.864732888314634,43.11669135978209,34.61277441684718,55.64487464250428,59.87297677494032,51.416772510068235
2023,12,18,Joe Biden,39.02765877864007,43.27440226736446,34.780915289915676,55.350171320787894,59.56339704309118,51.13694559848461
2023,12,17,Joe Biden,38.88849478713132,43.14025663510381,34.63673293915883,55.37906024285676,59.59974557148959,51.15837491422393
2023,12,16,Joe Biden,38.712265484723765,42.96116941878216,34.46336155066537,55.39743753135521,59.617502404864766,51.17737265784565
2023,12,15,Joe Biden,38.634966030222714,42.888141242558696,34.38179081788673,55.53839371076076,59.7578165908754,51.31897083064611
2023,12,14,Joe Biden,38.042252634351215,42.29047523199049,33.79403003671194,55.74745754678638,59.97005328398869,51.52486180958407
2023,12,13,Joe Biden,38.56737929618643,42.79080457718795,34.343954015184906,55.54752691359166,59.75986007140465,51.33519375577867
2023,12,12,Joe Biden,38.41921054186082,42.6564472926399,34.18197379108174,55.73672216359543,59.95403823386274,51.51940609332812
2023,12,11,Joe Biden,38.19608904259435,42.434056955546495,33.95812112964221,55.77448918063368,59.98717025935211,51.56180810191525
2023,12,10,Joe Biden,38.19354539893471,42.431513334604546,33.95557746326487,55.77685985425574,59.989540931851344,51.564178776660135
2023,12,9,Joe Biden,37.71413479530882,41.949016442935545,33.4792531476821,55.826225150601424,60.03914854412583,51.61330175707702
2023,12,8,Joe Biden,37.81336122171298,42.04787258544863,33.57884985797733,55.52704743071765,59.73690875681176,51.31718610462353
2023,12,7,Joe Biden,37.58169144640985,41.816466359760526,33.34691653305917,55.610040267135005,59.795312125287055,51.42476840898296
2023,12,6,Joe Biden,37.729936421666,41.953209215904344,33.50666362742766,55.42346784992125,59.605087840404934,51.24184785943757
2023,12,5,Joe Biden,38.102108742837686,42.339956675275424,33.86426081039995,55.09604863008855,59.2722735824021,50.91982367777501
2023,12,4,Joe Biden,37.8905543580908,42.122316530543635,33.65879218563796,55.43035362153584,59.60580294607763,51.254904296994056
2023,12,3,Joe Biden,37.62198863993981,41.86004807754196,33.383929202337654,55.44004093151594,59.635826891348394,51.24425497168348
2023,12,2,Joe Biden,37.62249954827732,41.860558989203085,33.38444010735155,55.43615194634431,59.63193790516466,51.24036598752396
2023,12,1,Joe Biden,38.2496493261642,42.489989344282755,34.00930930804565,54.80651344467167,58.99917519758371,50.613851691759635
2023,11,30,Joe Biden,38.21588727520528,42.44738684660219,33.98438770380836,54.76695349221352,58.95192299916286,50.58198398526417
2023,11,29,Joe Biden,38.75509271007329,42.99615569564371,34.514029724502876,54.58691330140722,58.780390464606306,50.39343613820814
2023,11,28,Joe Biden,39.22003912086119,43.44425724477654,34.99582099694584,54.49162437763633,58.669097809048935,50.31415094622372
2023,11,27,Joe Biden,39.082826893716494,43.29124897743976,34.87440480999322,54.71361523278807,58.890168856056576,50.53706160951957
2023,11,26,Joe Biden,39.08136378038889,43.28978587031431,34.87294169046347,54.71491841481472,58.891472030891094,50.53836479873834
2023,11,25,Joe Biden,38.60311002029536,42.8118118878908,34.394408152699924,55.18060724703612,59.3557232639923,51.00549123007994
2023,11,24,Joe Biden,38.60559991644275,42.814301784038186,34.39689804884731,55.17991916527249,59.35503518222867,51.004803148316306
2023,11,23,Joe Biden,38.60567852208875,42.81438038968419,34.396976654493315,55.17995748450084,59.35507350145702,51.00484146754466
2023,11,22,Joe Biden,38.92199543533002,43.153086423014614,34.69090444764542,55.01325053421185,59.185856374627434,50.840644693796264
2023,11,21,Joe Biden,39.15010989575331,43.37629625726269,34.92392353424393,55.174687966781136,59.34873670299139,51.00063923057088
2023,11,20,Joe Biden,39.54855384277077,43.749347233233934,35.34776045230761,54.96467621096069,59.14700017053579,50.78235225138559
2023,11,19,Joe Biden,39.06173245237247,43.27040015534676,34.85306474939817,55.56106204499929,59.73862001049653,51.383504079502046
2023,11,18,Joe Biden,39.06311602906341,43.27178374163853,34.85444831648829,55.56235322022132,59.73991118572054,51.3847952547221
2023,11,17,Joe Biden,39.04440750101825,43.25447351831385,34.834341483722646,55.52965814583579,59.71397919541869,51.34533709625289
2023,11,16,Joe Biden,38.87578634997772,43.085857627071185,34.66571507288426,55.58454816140825,59.75997154014065,51.40912478267585
2023,11,15,Joe Biden,39.269531424546834,43.49757927245141,35.04148357664226,55.488845889350415,59.666593465103055,51.311098313597775
2023,11,14,Joe Biden,39.4259419484486,43.63406708113281,35.217816815764394,55.22316188123018,59.405433417472295,51.04089034498807
2023,11,13,Joe Biden,38.82210229145019,43.01485475452549,34.6293498283749,55.52762726707938,59.699924223868926,51.35533031028984
2023,11,12,Joe Biden,38.82132453285942,43.01407700714075,34.62857205857809,55.52884263153578,59.701139595642765,51.3565456674288
2023,11,11,Joe Biden,38.41966569398113,42.613806577709184,34.22552481025308,55.9706485444095,60.1385197657056,51.80277732311339
2023,11,10,Joe Biden,38.7382953560065,42.94914949374513,34.527441218267874,55.508969240840976,59.687570556899594,51.33036792478236
2023,11,9,Joe Biden,38.627176054203595,42.83335698352661,34.42099512488058,55.67321461228323,59.845279706004504,51.50114951856196
2023,11,8,Joe Biden,38.5361077522963,42.75139137777859,34.32082412681402,55.72640678795851,59.89940682964466,51.55340674627236
2023,11,7,Joe Biden,38.60216137635217,42.80102607408136,34.40329667862298,55.56205743166747,59.74428660535541,51.379828257979526
2023,11,6,Joe Biden,38.84920798250535,43.04692961779758,34.651486347213115,54.99764112567329,59.17920669398596,50.81607555736062
2023,11,5,Joe Biden,38.88454522119944,43.09686115090754,34.672229291491334,54.80018700543839,58.97905917361856,50.62131483725822
2023,11,4,Joe Biden,38.7850815838524,42.99469911608265,34.57546405162214,54.89475700339085,59.078368627507245,50.711145379274456
2023,11,3,Joe Biden,38.745254240345425,42.98019152943826,34.51031695125259,54.996255689846834,59.19087583212475,50.801635547568914
2023,11,2,Joe Biden,39.31304461883447,43.57611672696727,35.049972510701664,54.1054463714945,58.26494612059828,49.94594662239072
2023,11,1,Joe Biden,39.49701084155539,43.728826263050806,35.26519542005997,54.01377505934015,58.170552317406646,49.85699780127365
2023,10,31,Joe Biden,40.07540062312396,44.31860986817345,35.83219137807447,53.84175175272468,57.986771112207755,49.69673239324161
2023,10,30,Joe Biden,39.913359341780016,44.146025735291694,35.68069294826834,53.93022260336551,58.090120452844374,49.77032475388664
2023,10,29,Joe Biden,39.91274515318044,44.14541154911527,35.6800787572456,53.93045358298048,58.090351432223805,49.77055573373715
2023,10,28,Joe Biden,39.8108851878746,44.04687685164483,35.57489352410436,54.180695069204035,58.340760342390055,50.020629796018014
2023,10,27,Joe Biden,39.9359652939537,44.1762848343394,35.695645753568,53.95702959159473,58.10775388229557,49.8063053008939
2023,10,26,Joe Biden,40.26845450532634,44.52019843759465,36.01671057305803,54.12397272304154,58.269464965348874,49.978480480734206
