YEAR,1,2,3,4,5,6,7,8,9,10,11,12
1998,1.63112,1.4402,1.37672,1.4384,1.68856,1.62297,1.74564,1.61692,1.4268,1.48607,1.48423,1.60692
1999,1.66667,1.66667,1.7284,2.28113,2.09102,1.9656,2.14461,2.26438,2.62997,2.56254,2.62035,2.6764
2000,2.79296,3.21797,3.76214,3.01386,3.13253,3.73494,3.59928,3.35129,3.4565,3.45033,3.44418,3.43602
2001,3.7212,3.52941,2.98246,3.21826,3.56308,3.19396,2.72148,2.72148,2.59217,2.12766,1.89437,1.60367
2002,1.1959,1.13636,1.36286,1.64399,1.24083,1.06922,1.46561,1.74746,1.516,2.02703,2.25352,2.48027
2003,2.75746,3.14607,3.02521,2.17513,1.89415,1.94878,2.05556,2.21607,2.37832,2.04194,1.92837,2.0352
2004,2.02629,1.68845,1.74008,2.29258,2.89776,3.16767,2.93958,2.54743,2.53917,3.19091,3.62162,3.34232
2005,2.84487,3.05303,3.20684,3.36179,2.86929,2.54103,3.06716,3.64693,4.74183,4.3501,3.33855,3.33855
2006,4.01879,3.63825,3.41792,3.61384,3.97727,4.18172,4.10467,3.92657,2.01207,1.40633,1.9687,2.52398
2007,2.07577,2.42026,2.7982,2.59292,2.70989,2.69277,2.31789,1.89745,2.83383,3.6107,4.37327,4.10881
2008,4.2947,4.14296,3.9749,3.90376,4.08841,4.93597,5.49751,5.30802,4.95332,3.73106,1.09992,-0.02223
2009,-0.11359,0.00846,-0.44648,-0.57632,-1.01576,-1.22917,-1.95876,-1.48384,-1.37794,-0.22397,1.91459,2.81412
2010,2.62111,2.15134,2.28617,2.20677,2.00355,1.12156,1.34078,1.15018,1.11831,1.1667,1.08454,1.43779
2011,1.70078,2.1249,2.61924,3.07723,3.45897,3.50232,3.57988,3.755,3.81262,3.52227,3.45143,3.06207
2012,3.00877,2.89818,2.58288,2.27316,1.73794,1.65387,1.41751,1.68593,1.94972,2.15568,1.79602,1.7595
2013,1.68406,2.01814,1.51875,1.13881,1.39039,1.71579,1.88547,1.53881,1.09473,0.8768,1.23287,1.51284
2014,1.55776,1.12047,1.61269,2.01513,2.16695,2.05898,1.97424,1.7151,1.68405,1.60954,1.23152,0.65312
2015,-0.22993,-0.08703,-0.02203,-0.10403,0.03503,0.17957,0.22569,0.2413,0.00884,0.12762,0.43632,0.63872
2016,1.2375,0.84728,0.89162,1.17263,1.07848,1.07929,0.86836,1.05532,1.54864,1.68592,1.68433,2.0508
2017,2.51039,2.81036,2.4412,2.17622,1.85634,1.64057,1.72511,1.92812,2.18057,2.02076,2.17249,2.12993
2018,2.15132,2.26347,2.33095,2.471,2.78192,2.80755,2.85412,2.64292,2.33206,2.49203,2.14733,2.00238
2019,1.48759,1.51886,1.88319,2.00058,1.79591,1.67119,1.82633,1.73764,1.6845,1.73397,2.09229,2.31953
2020,2.59977,2.34132,1.49404,0.31305,0.1982,0.71666,0.99686,1.28107,1.39102,1.23039,1.17575,1.32042
2021,1.35532,1.6675,2.62365,4.13737,4.92647,5.31742,5.26917,5.18132,5.36352,6.22659,6.86556,7.15946
2022,7.57808,7.94922,8.54078,8.23516,8.53005,8.9993,8.44778,8.21626,8.20575,7.75726,7.13138,6.41083
2023,6.3403,5.95765,4.93135,4.94695,4.12531,3.05925,3.28033,3.71864,3.69508,3.24654,3.13986,3.3222
2024,3.10794,3.16642,3.469,3.35405,3.23887,2.97009,2.93846,2.61091,2.43254,2.5714,2.71417,2.87237
2025,2.99941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
